product_name,brand,category,source,enrichment_status
Kaffee - Classic Kräftig - löslicher Kaffee,Nescafe,Beverages,openfoodfacts,not_found
Кофе Crema,Nescafe,Beverages,openfoodfacts,enriched
Nescafe classic 200g,Nescafe,Beverages,openfoodfacts,enriched
Coffee,Bru,Tea & Coffee,openfoodfacts,enriched
Coffee Powder,Bru,Tea & Coffee,openfoodfacts,enriched
Bru Coffee 3rs Sachet,Bru,Beverages,openfoodfacts,enriched
BRU GOLD Edition,Fssai,Plant Based Foods And Beverages,openfoodfacts,enriched
Super Strong Blend Coffee,Continental,Beverages,openfoodfacts,enriched
Continental Xtra Coffee Powder,Continental,Beverages,openfoodfacts,not_found
Xtra instant coffee,Continental,Beverages,openfoodfacts,enriched
Continental Strong,Continental,Beverages,openfoodfacts,enriched
Malgudi fresh filter coffee,Continental,Tea & Coffee,openfoodfacts,enriched
Cappuccino,Continental,Beverages,openfoodfacts,not_found
Super Strong Blend Instant Coffee Chicory Mixture,Continental,Beverages,openfoodfacts,enriched
Continental Malgudi Coffee  53',Continental,Tea & Coffee,openfoodfacts,not_found
Horlicks classic Malt 500g,Horlicks,Beverages,openfoodfacts,enriched
Horlicks Classic Malt,Horlicks,Beverages,openfoodfacts,not_found
Horlicks Classic Malt,Horlics,Beverages,openfoodfacts,enriched
Horlicks Classic Malt 500g Cbd,Hindustan Unilever Ltd,Other,openfoodfacts,not_found
Bournvita 1kg pet,Cadbury,Chocolates & Confectionery,openfoodfacts,not_found
Bournvita 500G,Cadbury,Chocolates & Confectionery,openfoodfacts,not_found
Complan,Complan,Breakfast Cereals,openfoodfacts,enriched
Strawberry,Complan,Health & Nutrition,openfoodfacts,enriched
PediaSure sabor vainilla,Abbott,Health & Nutrition,openfoodfacts,enriched
PediaSure Grow & Gain,Abbott,Health & Nutrition,openfoodfacts,enriched
Vanilla Shake,PediaSure,Health & Nutrition,openfoodfacts,not_found
Pediasure,Abbott,Health & Nutrition,openfoodfacts,not_found
PediaSure Complete,Abbott,Health & Nutrition,openfoodfacts,not_found
Pediasure sabor vainilla,PediaSure,Health & Nutrition,openfoodfacts,not_found
Pediasure drink,PediaSure,Health & Nutrition,openfoodfacts,not_found
Pediasure Vainilla Polvo 850G,Abbott,Health & Nutrition,openfoodfacts,enriched
Fibre Feed,PediaSure,Health & Nutrition,openfoodfacts,enriched
pediasure,abott,Other,openfoodfacts,enriched
Fórmula para alimentación Pediasure enteral especializada sabor chocolate,PediaSure,Health & Nutrition,openfoodfacts,not_found
PediaSure Grow&Gain,Abbott,Health & Nutrition,openfoodfacts,enriched
PediaSure vainilla,Abbott,Beverages,openfoodfacts,enriched
Pediasure Harvest,Abbott,Health & Nutrition,openfoodfacts,not_found
PediaSure Strawberry,Abbott,Health & Nutrition,openfoodfacts,enriched
