product_name,brand,category,source,enrichment_status
Marie gold,Britannia,Biscuits & Bakery,openfoodfacts,not_found
Tea Time Biscuits,Britannia,Biscuits & Bakery,openfoodfacts,enriched
Maliban,Gold marie,Other,openfoodfacts,enriched
Vita Marie Gold Tea time biscuit,Britannia,Biscuits & Bakery,openfoodfacts,not_found
Ida Marie Brut,Weingut Gold,Beverages,openfoodfacts,enriched
Vitamin Marie Gold,Britannia,Biscuits & Bakery,openfoodfacts,not_found
gold marie 165g,maliban,Other,openfoodfacts,not_found
Saucy Noodles Teriyaki,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Teriyaki Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Saucy Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Fusian oriental noodles teriyaki,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Noodles chicken,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Pasta oriental sabor pollo,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Saucy Noodles Teriyaki Style,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Magic Asia Instant Noodle Cup Chili 63 gr,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Spaghetti Bolognese,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Beef noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Noodle Cup Duck Taste with Black Pepper & Paprika,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Vegetable Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Saucy Noodles Pad Thai,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Chicken flavoured noodle soup,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Stir Fried Noodles Teriyaki,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Maggi,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
STIR-FRIED NOODLES TASTE OF DUCK,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Saucy Noodles - Sweet Chilli,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Durban Curry Flavoured 2 Minute Noodles,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
maggi chicken noodles,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Hochzeitssuppe,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Magic Asia Nudel Snack Ente,Maggi,Instant Foods & Noodles,openfoodfacts,not_found
Nouilles asiatiques Maggi Mi Goreng soy and mild spice,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Makkaroni Lasagne,Maggi,Instant Foods & Noodles,openfoodfacts,enriched
Top Ramen Chicken Flavor,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top Ramen Masala Noodles,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top Ramen - Soy Sauce Flavor,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top ramen hot and spicy beef flavor same picante,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top ramen the original soy sauce ramen noodle soup,Nissin,Instant Foods & Noodles,openfoodfacts,not_found
Top Ramen shrimp noodle soup,Nissin,Instant Foods & Noodles,openfoodfacts,enriched
Shrimp Ramen Noodle Soup,Top Ramen,Instant Foods & Noodles,openfoodfacts,not_found
"Top Ramen 48 pack, chicken flavor ramen noodle soup",Nissin,Instant Foods & Noodles,openfoodfacts,enriched
Top Ramen chilli,Nissin,Instant Foods & Noodles,openfoodfacts,enriched
Top Ramen -  Chicken,The Original Nissin,Other,openfoodfacts,enriched
Nissin Top Ramen Chili flavor,Nissin,Instant Foods & Noodles,openfoodfacts,enriched
Hot Pot Fusions Korean Spicy Beef Flavor Ramen Noodle Soup,Top Ramen,Ready-to-Eat,openfoodfacts,enriched
Japanese Garlic Tonkotsu Pork,Top Ramen,Instant Foods & Noodles,openfoodfacts,enriched
Thai Coconut Curry Chicken Flavor Ramen Noodle Soup,Top Ramen,Ready-to-Eat,openfoodfacts,enriched
Beef Flavor Ramen Noodle Soup With Japanese Sauce,Top Ramen,Instant Foods & Noodles,openfoodfacts,not_found
Japanese BBQ Beef Soup,Top Ramen,Instant Foods & Noodles,openfoodfacts,enriched
Cut Vegetables For Ramen Noodles,Top Valu,Other,openfoodfacts,enriched
Magic Masala Noodles,Yippee,Instant Foods & Noodles,openfoodfacts,not_found
Yippee Noodles,Sunfeast,Biscuits & Bakery,openfoodfacts,enriched
Yippee noodles (snack pack),Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
Sunfeast Yippee! masala magic,Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
sunfeast yippee,Sunfeast,Biscuits & Bakery,openfoodfacts,enriched
Noodles,Yippee,Instant Foods & Noodles,openfoodfacts,not_found
Atta Noodles,Yippee,Instant Foods & Noodles,openfoodfacts,not_found
Sunfeast Yippee Noodles,ITC,Snacks & Namkeen,openfoodfacts,enriched
Sunfeast Yippee noodles,Sunfeast,Biscuits & Bakery,openfoodfacts,enriched
Yippee magic masala noodles four in one pack,Sunfeast,Biscuits & Bakery,openfoodfacts,enriched
Yippee Noodles Magic Masala,Sunfeast,Biscuits & Bakery,openfoodfacts,not_found
Yippee noodles magic masala goat,Sunfeast,Biscuits & Bakery,openfoodfacts,enriched
Les classiques - Velouté de 9 légumes,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Knorr Soupe Liquide Douceur à l'Italienne Tomates Mozzarella 1L,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Knorr Soupe Liquide Douceur de 8 Légumes à la Crème Fraîche 30cl,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Soupe Douceur 8 Légumes à la Crème Fraîche,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Velouté Patate Douce & Chèvre et Miel,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Knorr Soupe Déshydratée Paysanne Légumes & Lard 4 Portions,Knorr,Ready-to-Eat,openfoodfacts,not_found
intense rich beef,Knorr,Ready-to-Eat,openfoodfacts,not_found
Knorr Soupe Liquide Légumes du Pot-au-Feu 1L,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Beef stock pot,Knorr,Ready-to-Eat,openfoodfacts,not_found
Knorr Soupe Déshydratée Tomates aux Vermicelles 4 Portions,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Nudle ser w ziołach,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Crema vichyssoise puerro y patata envase 500 ml,Knorr,Instant Foods & Noodles,openfoodfacts,enriched
Velouté Potiron & Fourme d'Ambert AOP,Knorr,Ready-to-Eat,openfoodfacts,enriched
Knorr Comme à La Maison Soupe Liquide Courgette Ricotta Parmesan 45cl,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Cheese Soup,Knorr,Instant Foods & Noodles,openfoodfacts,enriched
Knorr Soupe Liquide Douceur de Légumes du Soleil 1L,Knorr,Instant Foods & Noodles,openfoodfacts,not_found
Zuppa di fagioli,Knorr,Instant Foods & Noodles,openfoodfacts,enriched
